Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
Gluten-Friendly Boxed Lunch - California Veggie Wrap,$13.99 ,379-products,,Gluten-Friendly Wrap Boxed Lunch - California Veggie Wrap,California Veggie Wrap,,Gluten-Friendly Boxed Lunch,California Veggie Wrap,,,Gluten-Friendly Boxed Lunch,California Veggie Wrap,
Cookie - Assorted,$1.99 ,67-products,,,,,Cookie,Assorted,,,Cookie,Assorted,
Cookie - Snickerdoodle,$1.99 ,67-products,,,,,Cookie,Snickerdoodle,,,Cookie,Snickerdoodle,
Cookie - Oatmeal Raisin,$1.99 ,67-products,,,,,Cookie,Oatmeal Raisin,,,Cookie,Oatmeal Raisin,
Cookie - White Chocolate Macadamia,$1.99 ,67-products,,,,,Cookie,White Chocolate Macadamia,,,Cookie,White Chocolate Macadamia,
Cookie - Chocolate Chip,$1.99 ,67-products,,,,,Cookie,Chocolate Chip,,,Cookie,Chocolate Chip,
Broccoli Bacon Bliss,$2.99 ,83-products,,Broccoli Bacon Bliss Salad,,,Broccoli Bacon Bliss,,,,Broccoli Bacon Bliss,,
Potato Salad,$2.99 ,87-products,,Smashed Potato Salad,,,Potato Salad,,,,Potato Salad,,
Fruit Tray,$54.99 ,31-products,,Fresh Fruit Tray,,,Fruit Tray,,,,Fruit Tray,,
Veggie Tray,$54.99 ,139-products,,Fresh Veggie Tray,,,Veggie Tray,,,,Veggie Tray,,
Buffet Garden Salad,$32.99 ,107-products,,Chef Salad,,,Buffet Garden Salad,,,,Buffet Garden Salad,,
Buffet Chef Salad,$37.99 ,555-products,,Garden Salad,,,Buffet Chef Salad,,,,Buffet Chef Salad,,
The Honey Baked Plate - Roasted Turkey,$16.99 ,247-products,,Honey Baked Plate - Roasted Turkey Breast,Roasted Turkey Breast,,The Honey Baked Plate,Roasted Turkey,,,The Honey Baked Plate,Roasted Turkey,
The Honey Baked Plate - Smoked Turkey,$16.99 ,247-products,,Honey Baked Plate - Smoked Turkey Breast,Smoked Turkey Breast,,The Honey Baked Plate,Smoked Turkey,,,The Honey Baked Plate,Smoked Turkey,
The Honey Baked Plate - 1/2 Ham and 1/2 Turkey,$16.99 ,247-products,,Honey Baked Plate - Assorted,Assorted,,The Honey Baked Plate,1/2 Ham and 1/2 Turkey,,,The Honey Baked Plate,1/2 Ham and 1/2 Turkey,
The Honey Baked Plate - Ham,$16.99 ,247-products,,Honey Baked Plate - HoneyBaked Ham,HoneyBaked Ham,,The Honey Baked Plate,Ham,,,The Honey Baked Plate,Ham,
